sex	age	birthplace	shoesize	smoking	 avgrade	bafög	applynumb	acceptnumb	laptop	car	glasses	 sleep	religion	job	unieval	  cityeval	rent	abroadbefore	master	exchange	faith	brothsis	friend	animal	micromacro	work	tv	party	parentseducat	parentsstudy	parentsphd	hairdresser	travel	height	weight	cooking	 profession meat	statistics	macburger	studyfine	newspaper	information	soccommit	econconcept						
0,0	19,0	1,0	45,0	0,0	2,6	0,0	1,0	3,0	0,0	1,0	0,0	10,0	4,0	3,0	2,0	3,0	200,0	0,0	2,0	2,0	2,0	0,0	0,0	0,0	2,0	5,0	5,0	3,0	3,0	1,0	0,0	7,0	1,0	185,0	85,0	4,0	0,0	1,0	0,0	3,0	1,0	3,0	4,0	1,0	1,0						
1,0	20,0	1,0	40,0	0,0	1,0	0,0	1,0	1,0	1,0	0,0	1,0	8,0	2,0	0,0	2,0	2,0	315,0	0,0	2,0	2,0	2,0	1,0	0,0	1,0	2,0	5,0	8,0	5,0	3,0	1,0	0,0	2,0	2,0	164,0	64,0	4,0	0,0	1,0	0,0	4,0	2,0	4,0	2,0	1,0	0,0						
0,0	20,0	5,0	42,0	0,0	1,8	0,0	3,0	3,0	1,0	1,0	0,0	7,5	2,0	0,0	2,0	3,0	230,0	1,0	1,0	1,0	-2,0	1,0	0,0	1,0	3,0	3,5	5,0	3,0	3,0	1,0	0,0	4,0	3,0	174,0	62,0	4,0	0,0	1,0	0,0	2,0	2,0	2,0	4,0	1,0	2,0						
1,0	20,0	3,0	40,0	0,0	2,0	0,0	1,0	1,0	1,0	0,0	0,0	8,0	5,0	0,0	2,0	2,0	300,0	0,0	1,0	1,0	-2,0	1,0	0,0	0,0	2,0	2,0	12,0	1,0	3,0	1,0	1,0	3,0	1,0	177,0	55,0	2,0	0,0	0,0	1,0	4,0	2,0	3,0	2,0	0,0	0,0						
0,0	20,0	5,0	39,0	0,0	2,0	1,0	8,0	8,0	0,0	0,0	2,0	8,0	5,0	0,0	2,0	3,0	135,0	0,0	2,0	0,0	-1,0	1,0	0,0	1,0	2,0	10,0	10,0	3,0	2,0	0,0	0,0	3,0	0,0	175,0	60,0	4,0	0,0	1,0	0,0	3,0	2,0	3,0	4,0	0,0	0,0						
0,0	20,0	3,0	45,0	0,0	1,3	0,0	2,0	2,0	1,0	0,0	0,0	8,0	1,0	0,0	1,0	4,0	270,0	1,0	2,0	-1,0	1,0	1,0	0,0	0,0	2,0	7,0	1,0	1,0	3,0	1,0	0,0	3,0	1,0	185,0	75,0	4,0	0,0	1,0	0,0	1,0	1,0	3,0	1,0	0,0	0,0						
0,0	21,0	5,0	43,0	0,0	2,3	1,0	7,0	5,0	1,0	0,0	0,0	8,0	2,0	0,0	2,0	4,0	235,0	1,0	2,0	2,0	0,0	3,0	1,0	1,0	3,0	10,0	28,0	2,0	3,0	1,0	0,0	8,0	1,0	182,0	73,0	3,0	0,0	1,0	0,0	3,0	1,0	4,0	4,0	0,0	1,0						
0,0	21,0	5,0	43,0	0,0	2,2	0,0	5,0	5,0	1,0	0,0	1,0	7,0	2,0	0,0	2,0	3,0	207,0	1,0	2,0	1,0	1,0	0,0	0,0	1,0	2,0	10,0	20,0	2,0	3,0	1,0	0,0	3,0	2,0	NA	73,0	3,0	0,0	1,0	0,0	1,0	1,0	2,0	5,0	0,0	1,0						
1,0	22,0	7,0	38,0	0,0	NA	0,0	3,0	3,0	1,0	0,0	0,0	7,0	4,0	3,0	2,0	3,0	175,0	1,0	0,0	2,0	2,0	1,0	1,0	1,0	2,0	25,0	0,0	6,0	2,0	1,0	0,0	1,0	0,0	171,0	56,0	2,0	0,0	1,0	1,0	1,0	2,0	9,0	4,0	0,0	1,0						
1,0	23,0	1,0	40,0	1,0	2,8	0,0	3,0	2,0	0,0	1,0	0,0	5,0	2,0	4,0	2,0	2,0	250,0	0,0	1,0	1,0	-1,0	0,0	0,0	1,0	2,0	4,0	0,0	NA	3,0	1,0	0,0	0,0	2,0	167,0	63,0	2,0	1,0	1,0	0,0	4,0	2,0	9,0	0,0	0,0	1,0						
