Rank,Rank,Movie_name,IMDb_id,Release_Year,IMDB_Rating,Reviewer_count,Movie_Length,Genre,Director,Starring,Budget,Cum_Worldwide_Gross,Country,Language
108,108,Viver - Ikiru,0044741,1952,8.3,66487,143,['Drama'],Akira Kurosawa,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]",0,90773,['Japan'],['Japanese']
109,109,Lawrence da Arábia,0056172,1962,8.3,263623,228,"['Adventure', 'Biography', 'Drama']",David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",15000000,45715557,['UK'],"['English', 'Arabic', 'Turkish']"
110,110,O Fabuloso Destino de Amélie,0211915,2001,8.3,694388,122,"['Comedy', 'Romance']",Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']",10000000,173924742,"['France', 'Germany']","['French', 'Russian', 'English']"
111,111,Toy Story 3,0435761,2010,8.3,744870,103,"['Animation', 'Adventure', 'Comedy']",Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']",200000000,1066969703,['USA'],"['English', 'Spanish']"
112,112,A Golpada,0070735,1973,8.3,237970,129,"['Comedy', 'Crime', 'Drama']",George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw']",5500000,156000000,['USA'],['English']
113,113,Metropolis,0017136,1927,8.3,157539,153,"['Drama', 'Sci-Fi']",Fritz Lang,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']",6000000,1349711,['Germany'],"['German', 'None']"
114,114,Uma Separação,1832382,2011,8.3,215832,123,"['Drama', 'Thriller']",Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']",500000,22926076,"['Iran', 'France', 'Australia']",['Persian']
115,115,Incendies - A Mulher que Canta,1255953,2010,8.3,144992,131,"['Drama', 'Mystery', 'War']",Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']",6800000,7099598,"['Canada', 'France']","['French', 'Arabic', 'English']"
116,116,Por Mais Alguns Dólares,0059578,1965,8.3,228462,132,['Western'],Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']",600000,15000000,"['Italy', 'Spain', 'West Germany']","['Italian', 'English']"
117,117,Vem e Vê,0091251,1985,8.3,55873,142,"['Drama', 'Thriller', 'War']",Elem Klimov(as E. Klimov),"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']",0,168817,['Soviet Union'],"['Russian', 'Belarusian', 'German']"
118,118,O Apartamento,0053604,1960,8.3,160760,125,"['Comedy', 'Drama', 'Romance']",Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",3000000,178003,['USA'],['English']
119,119,Pagos a Dobrar,0036775,1944,8.3,140973,107,"['Crime', 'Drama', 'Film-Noir']",Billy Wilder,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']",927262,13886,['USA'],['English']
120,120,Na Sombra e no Silêncio,0056592,1962,8.2,290496,129,"['Crime', 'Drama']",Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton']",2000000,599146,['USA'],['English']
121,121,Up - Altamente,1049413,2009,8.2,918370,96,"['Animation', 'Adventure', 'Comedy']",Pete Docter,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']",175000000,735099102,['USA'],['English']
122,122,Indiana Jones e a Última Cruzada,0097576,1989,8.2,681398,127,"['Action', 'Adventure']",Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody']",48000000,474310887,['USA'],"['English', 'German', 'Greek', 'Arabic']"
123,123,L.A. Confidencial,0119488,1997,8.2,524727,138,"['Crime', 'Drama', 'Mystery']",Curtis Hanson,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']",35000000,126216940,['USA'],['English']
124,124,Heat - Cidade Sob Pressão,0113277,1995,8.2,566756,170,"['Crime', 'Drama', 'Thriller']",Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",60000000,187436818,['USA'],"['English', 'Spanish']"
125,125,Die Hard - Assalto ao Arranha-Céus,0095016,1988,8.2,772434,132,"['Action', 'Thriller']",John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']",28000000,141482299,['USA'],"['English', 'German', 'Italian', 'Japanese']"
126,126,Monty Python e o Cálice Sagrado,0071853,1975,8.2,494620,91,"['Adventure', 'Comedy', 'Fantasy']",Terry Gilliam,"['Graham Chapman', 'John Cleese', 'Eric Idle']",229575,1938971,['UK'],"['English', 'French', 'Latin']"
127,127,Às Portas do Inferno,0042876,1950,8.2,149686,88,"['Crime', 'Drama', 'Mystery']",Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']",250000,46808,['Japan'],['Japanese']
128,128,Yojimbo - O Invencível,0055630,1961,8.2,108889,110,"['Action', 'Drama', 'Thriller']",Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai']",0,46808,['Japan'],['Japanese']
129,129,Batman - O Início,0372784,2005,8.2,1287885,140,"['Action', 'Adventure']",Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Ken Watanabe']",150000000,373661301,"['USA', 'UK']","['English', 'Mandarin']"
130,130,Green Book - Um Guia Para a Vida,6966692,2018,8.2,350665,130,"['Biography', 'Comedy', 'Drama']",Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",23000000,321752656,"['USA', 'China']","['English', 'Italian', 'Russian', 'German']"
131,131,Bacheha-Ye aseman,0118849,1997,8.3,63377,89,"['Drama', 'Family', 'Sport']",Majid Majidi,"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']",180000,933933,['Iran'],['Persian']
132,132,A Queda: Hitler e o Fim do Terceiro Reich,0363163,2004,8.2,326810,156,"['Biography', 'Drama', 'History']",Oliver Hirschbiegel,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']",13500000,92181574,"['Germany', 'Austria', 'Italy']","['German', 'Russian', 'French', 'English']"
133,133,Imperdoável,0105695,1992,8.2,370084,130,"['Drama', 'Western']",Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']",14400000,159157447,['USA'],['English']
134,134,Ran - Os Senhores da Guerra,0089881,1985,8.2,110129,162,"['Action', 'Drama', 'War']",Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']",11500000,4163664,"['Japan', 'France']",['Japanese']
135,135,Quanto Mais Quente Melhor,0053291,1959,8.2,239923,121,"['Comedy', 'Music', 'Romance']",Billy Wilder,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']",2883848,83284366,['USA'],['English']
136,136,O Castelo Andante,0347149,2004,8.2,323893,119,"['Animation', 'Adventure', 'Family']",Hayao Miyazaki,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin']",24000000,236212992,['Japan'],['Japanese']
137,137,Uma Mente Brilhante,0268978,2001,8.2,833934,135,"['Biography', 'Drama']",Ron Howard,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']",58000000,316791257,['USA'],['English']
138,138,Eva,0042192,1950,8.2,118681,138,['Drama'],Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders']",1400000,150438,['USA'],"['English', 'French']"
139,139,Casino,0112641,1995,8.2,457179,178,"['Crime', 'Drama']",Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",52000000,116112375,"['France', 'USA']",['English']
140,140,A Grande Evasão,0057115,1963,8.2,221265,172,"['Adventure', 'Drama', 'History']",John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough']",4000000,227940,['USA'],"['English', 'German', 'French', 'Russian', 'Spanish']"
141,141,O Lobo de Wall Street,0993846,2013,8.2,1153637,180,"['Biography', 'Crime', 'Drama']",Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",100000000,392000694,['USA'],"['English', 'French']"
142,142,O Labirinto do Fauno,0457430,2006,8.2,610618,118,"['Drama', 'Fantasy', 'War']",Guillermo del Toro,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López']",19000000,83850267,"['Mexico', 'Spain']",['Spanish']
143,143,Anand,0066763,1971,8.5,28958,122,"['Drama', 'Musical']",Hrishikesh Mukherjee,"['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal']",3000000,0,['India'],['Hindi']
144,144,O Segredo dos Seus Olhos,1305806,2009,8.2,189533,129,"['Drama', 'Mystery', 'Romance']",Juan José Campanella,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago']",2000000,35079650,"['Argentina', 'Spain']",['Spanish']
145,145,Um Mal Nunca Vem Só,0120735,1998,8.2,527873,107,"['Action', 'Comedy', 'Crime']",Guy Ritchie,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran']",960000,3753929,['UK'],['English']
146,146,O Touro Enraivecido,0081398,1980,8.2,316407,129,"['Biography', 'Drama', 'Sport']",Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']",18000000,23402427,['USA'],['English']
147,147,O Meu Vizinho Totoro,0096283,1988,8.2,282563,86,"['Animation', 'Family', 'Fantasy']",Hayao Miyazaki,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto']",3700000,30477153,['Japan'],['Japanese']
148,148,Haverá Sangue,0469494,2007,8.2,507316,158,['Drama'],Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds']",25000000,76181545,['USA'],"['English', 'American Sign Language']"
149,149,O Julgamento de Nuremberga,0055031,1961,8.2,68104,179,"['Drama', 'War']",Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']",3000000,12180,['USA'],"['English', 'German']"
150,150,O Tesouro da Sierra Madre,0040897,1948,8.2,112446,126,"['Adventure', 'Drama', 'Western']",John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']",3000000,215295,"['USA', 'Mexico']","['English', 'Spanish']"
151,151,Vikram Vedha,6148156,2017,8.6,25041,147,"['Action', 'Crime', 'Thriller']",Gayatri,"['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath']",150000000,546792,['India'],['Tamil']
152,152,Três Cartazes à Beira da Estrada,5027774,2017,8.2,417717,115,"['Comedy', 'Crime', 'Drama']",Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']",15000000,160192031,"['UK', 'USA']",['English']
153,153,Chamada para a Morte,0046912,1954,8.2,155006,88,"['Crime', 'Thriller']",Alfred Hitchcock,"['Ray Milland', 'Grace Kelly', 'Robert Cummings']",1400000,18816,['USA'],['English']
154,154,Chinatown,0071315,1974,8.1,289308,130,"['Drama', 'Mystery', 'Thriller']",Roman Polanski,"['Jack Nicholson', 'Faye Dunaway', 'John Huston']",6000000,29225935,['USA'],"['English', 'Cantonese', 'Spanish']"
155,155,A Quimera do Ouro,0015864,1925,8.2,98731,95,"['Adventure', 'Comedy', 'Drama']",Charles Chaplin,"['Charles Chaplin', 'Mack Swain', 'Tom Murray']",923000,26916,['USA'],"['English', 'None']"
156,156,Babam ve Oglum,0476735,2005,8.3,76979,112,"['Drama', 'Family']",Çagan Irmak,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra']",0,18612999,['Turkey'],['Turkish']
157,157,Shutter Island,1130884,2010,8.2,1106212,138,"['Mystery', 'Thriller']",Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']",80000000,294804195,['USA'],"['English', 'German']"
158,158,Este País Não É Para Velhos,0477348,2007,8.1,839064,122,"['Crime', 'Drama', 'Thriller']",Ethan Coen,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']",25000000,171627166,"['USA', 'Mexico']","['English', 'Spanish']"
159,159,V de Vingança,0434409,2005,8.2,1016309,132,"['Action', 'Drama', 'Sci-Fi']",James McTeigue,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves']",54000000,132511035,"['USA', 'UK', 'Germany']",['English']
160,160,O Sétimo Selo,0050976,1957,8.2,161097,96,"['Drama', 'Fantasy']",Ingmar Bergman,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot']",150000,230571,['Sweden'],"['Swedish', 'Latin']"
161,161,Divertida-Mente,2096673,2015,8.1,598623,95,"['Animation', 'Adventure', 'Comedy']",Pete Docter,"['Amy Poehler', 'Bill Hader', 'Lewis Black']",175000000,858071350,['USA'],['English']
162,162,Warrior - Combate Entre Irmãos,1291584,2011,8.2,430163,140,"['Action', 'Drama', 'Sport']",Gavin O'Connor,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton']",25000000,23308615,['USA'],"['English', 'Spanish']"
163,163,O Homem Elefante,0080678,1980,8.1,216320,124,"['Biography', 'Drama']",David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']",5000000,26020641,"['USA', 'UK']","['English', 'French']"
164,164,Veio do Outro Mundo,0084787,1982,8.1,363922,109,"['Horror', 'Mystery', 'Sci-Fi']",John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David']",15000000,19629760,['USA'],"['English', 'Norwegian']"
165,165,O Sexto Sentido,0167404,1999,8.1,899704,107,"['Drama', 'Mystery', 'Thriller']",M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']",40000000,672806292,['USA'],"['English', 'Latin', 'Spanish']"
166,166,Trainspotting,0117951,1996,8.1,626736,93,['Drama'],Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']",1500000,16593356,['UK'],['English']
167,167,Parque Jurássico,0107290,1993,8.1,852882,127,"['Action', 'Adventure', 'Sci-Fi']",Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']",63000000,1033920013,['USA'],"['English', 'Spanish']"
168,168,E Tudo o Vento Levou,0031381,1939,8.1,285785,238,"['Drama', 'History', 'Romance']",Victor Fleming,"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell']",3977000,402352579,['USA'],['English']
169,169,The Truman Show - A Vida em Directo,0120382,1998,8.1,919303,103,"['Comedy', 'Drama', 'Sci-Fi']",Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney']",60000000,264118201,['USA'],['English']
170,170,Morangos Silvestres,0050986,1957,8.2,93976,91,"['Drama', 'Romance']",Ingmar Bergman,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin']",0,14524,['Sweden'],"['Swedish', 'Latin']"
171,171,À Procura de Nemo,0266543,2003,8.1,934244,100,"['Animation', 'Adventure', 'Comedy']",Andrew Stanton,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']",94000000,940350194,"['USA', 'Australia']",['English']
172,172,Blade Runner: Perigo Iminente,0083658,1982,8.1,683018,117,"['Action', 'Sci-Fi', 'Thriller']",Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young']",28000000,41633637,['USA'],"['English', 'German', 'Cantonese', 'Japanese', 'Hungarian', 'Arabic']"
173,173,Stalker,0079944,1979,8.2,113638,162,"['Drama', 'Sci-Fi']",Andrei Tarkovsky,"['Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn']",6000000,303815,['Soviet Union'],['Russian']
174,174,Kill Bill - A Vingança ,0266697,2003,8.1,984407,111,"['Action', 'Crime', 'Thriller']",Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']",30000000,180899045,"['USA', 'Japan']","['English', 'Japanese', 'French']"
175,175,Quarto,3170832,2015,8.1,361907,118,"['Drama', 'Thriller']",Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers']",13000000,35401758,"['Canada', 'Ireland', 'UK', 'USA']",['English']
176,176,A Ponte do Rio Kwai,0050212,1957,8.1,200321,161,"['Adventure', 'Drama', 'War']",David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins']",3000000,27200000,"['UK', 'USA']","['English', 'Japanese', 'Thai']"
177,177,Fargo,0116282,1996,8.1,605893,98,"['Crime', 'Drama', 'Thriller']",Joel Coen,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi']",7000000,60611975,"['USA', 'UK']",['English']
178,178,Salinui chueok,0353969,2003,8.1,131614,131,"['Action', 'Crime', 'Drama']",Bong Joon Ho,"['Kang-ho Song', 'Sang-kyung Kim', 'Roe-ha Kim']",2800000,1123723,['South Korea'],"['Korean', 'English']"
179,179,Viagem a Tóquio,0046438,1953,8.2,51345,136,['Drama'],Yasujirô Ozu,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura']",0,40405,['Japan'],"['Japanese', 'English']"
180,180,O Terceiro Homem,0041959,1949,8.1,156445,104,"['Film-Noir', 'Mystery', 'Thriller']",Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli']",0,1226098,['UK'],"['English', 'German', 'Russian']"
181,181,Gran Torino,1205489,2008,8.1,711415,116,['Drama'],Clint Eastwood,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley']",33000000,269958228,"['Germany', 'USA']","['English', 'Hmong']"
182,182,Há Lodo no Cais,0047296,1954,8.1,139752,108,"['Crime', 'Drama', 'Thriller']",Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb']",910000,0,['USA'],['English']
183,183,Relatos Selvagens,3011894,2014,8.1,172601,122,"['Comedy', 'Drama', 'Thriller']",Damián Szifron,"['Darío Grandinetti', 'María Marull', 'Mónica Villa']",3300000,30642704,"['Argentina', 'Spain', 'France', 'UK']",['Spanish']
184,184,O Caçador,0077416,1978,8.1,306553,183,"['Drama', 'War']",Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale']",15000000,49074243,['USA'],"['English', 'Russian', 'Vietnamese', 'French', 'Cantonese']"
185,185,Klaus,4729430,2019,8.2,77449,96,"['Animation', 'Adventure', 'Comedy']",Sergio Pablos,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones']",40000000,0,"['Spain', 'UK']","['English', 'Saami']"
186,186,Em Nome do Pai,0107207,1993,8.1,154106,133,"['Biography', 'Drama']",Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie']",13000000,65796862,"['Ireland', 'UK']",['English']
187,187,Mary and Max,0978762,2009,8.1,162158,92,"['Animation', 'Comedy', 'Drama']",Adam Elliot,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana']",8240000,1739445,['Australia'],"['English', 'Yiddish']"
188,188,Em Parte Incerta,2267998,2014,8.1,841013,149,"['Drama', 'Mystery', 'Thriller']",David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']",61000000,369330363,['USA'],['English']
189,189,O Herói de Hacksaw Ridge,2119532,2016,8.1,423489,139,"['Biography', 'Drama', 'History']",Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey']",40000000,180450918,"['Australia', 'USA']","['English', 'Japanese']"
190,190,Grand Budapest Hotel,2278388,2014,8.1,693054,99,"['Adventure', 'Comedy', 'Crime']",Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']",25000000,172940046,"['Germany', 'USA']","['English', 'French', 'German']"
191,191,Andhadhun,8108198,2018,8.3,67607,139,"['Crime', 'Thriller']",Sriram Raghavan,"['Ayushmann Khurrana', 'Tabu', 'Radhika Apte']",4500000,62475342,['India'],"['Hindi', 'English']"
192,192,Antes do Amanhecer,0112471,1995,8.1,265696,101,"['Drama', 'Romance']",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",2500000,5986708,"['USA', 'Austria', 'Switzerland']","['English', 'German', 'French']"
193,193,Apanha-me Se Puderes,0264464,2002,8.1,809286,141,"['Biography', 'Crime', 'Drama']",Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",52000000,352114312,"['USA', 'Canada']","['English', 'French']"
194,194,O Grande Lebowski,0118715,1998,8.1,719916,117,"['Comedy', 'Crime', 'Sport']",Joel Coen,"['Jeff Bridges', 'John Goodman', 'Julianne Moore']",15000000,46737965,"['USA', 'UK']","['English', 'German', 'Hebrew', 'Spanish']"
195,195,A Máscara,0060827,1966,8.1,100265,85,"['Drama', 'Thriller']",Ingmar Bergman,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']",0,25407,['Sweden'],"['Swedish', 'English']"
196,196,Ser ou Não Ser,0035446,1942,8.2,28378,99,"['Comedy', 'War']",Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack']",0,4578000,['USA'],"['English', 'German']"
197,197,Raptadas,1392214,2013,8.1,587197,153,"['Crime', 'Drama', 'Mystery']",Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']",46000000,122126687,['USA'],['English']
198,198,Eskiya,0116231,1996,8.2,62633,128,"['Crime', 'Drama', 'Thriller']",Yavuz Turgul,"['Sener Sen', 'Ugur Yücel', 'Sermin Hürmeriç']",1200000,0,"['Turkey', 'France', 'Bulgaria']",['Turkish']
199,199,Sherlock Holmes Jr.,0015324,1924,8.2,40447,45,"['Action', 'Comedy', 'Romance']",Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton']",0,0,['USA'],"['None', 'English']"
200,200,Pamplinas Maquinista,0017925,1926,8.1,79523,67,"['Action', 'Adventure', 'Comedy']",Clyde Bruckman,"['Buster Keaton', 'Marion Mack', 'Glen Cavender']",750000,0,['USA'],"['None', 'English']"
201,201,Como Treinares o Teu Dragão,0892769,2010,8.1,655988,98,"['Animation', 'Action', 'Adventure']",Dean DeBlois,"['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']",165000000,494878759,['USA'],['English']
202,202,Le Mans '66: O Duelo,1950186,2019,8.1,267241,152,"['Action', 'Biography', 'Drama']",James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal']",97600000,225508210,['USA'],"['English', 'Italian', 'French', 'Japanese']"
203,203,Peço a Palavra,0031679,1939,8.1,105258,129,"['Comedy', 'Drama']",Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains']",1900000,144738,['USA'],['English']
204,204,12 Anos Escravo,2024544,2013,8.1,629271,134,"['Biography', 'Drama', 'History']",Steve McQueen,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender']",20000000,187733202,"['USA', 'UK']",['English']
205,205,Barry Lyndon,0072684,1975,8.1,146694,185,"['Adventure', 'Drama', 'History']",Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']",11000000,198992,"['UK', 'USA']","['English', 'German', 'French']"
206,206,Mad Max: Estrada da Fúria,1392190,2015,8.1,863982,120,"['Action', 'Adventure', 'Sci-Fi']",George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",150000000,375225175,"['Australia', 'South Africa', 'USA']","['English', 'Russian']"
207,207,Conta Comigo,0092005,1986,8.1,358192,89,"['Adventure', 'Drama']",Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman']",8000000,52287414,['USA'],['English']
208,208,Million Dollar Baby - Sonhos Vencidos,0405159,2004,8.1,627178,132,"['Drama', 'Sport']",Clint Eastwood,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman']",30000000,216763646,['USA'],"['English', 'Irish']"
209,209,Escândalo na TV,0074958,1976,8.1,142903,121,['Drama'],Sidney Lumet,"['Faye Dunaway', 'William Holden', 'Peter Finch']",3800000,23690757,['USA'],['English']
210,210,O Presidiário,0061512,1967,8.1,159386,127,"['Crime', 'Drama']",Stuart Rosenberg,"['Paul Newman', 'George Kennedy', 'Strother Martin']",3200000,0,['USA'],['English']
211,211,O Clube dos Poetas Mortos,0097165,1989,8.1,415090,128,"['Comedy', 'Drama']",Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']",16400000,235860116,['USA'],"['English', 'Latin']"
212,212,Ben-Hur,0052618,1959,8.1,216222,212,"['Adventure', 'Drama', 'History']",William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd']",15000000,74427638,['USA'],['English']
213,213,Hachiko - Amigo para Sempre,1028532,2009,8.1,248026,93,"['Drama', 'Family']",Lasse Hallström,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa']",16000000,46749646,"['UK', 'USA']","['English', 'Japanese']"
214,214,Harry Potter e os Talismãs da Morte: Parte 2,1201607,2011,8.1,749276,130,"['Adventure', 'Drama', 'Fantasy']",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",125000000,1342206619,"['UK', 'USA']",['English']
215,215,Platoon - Os Bravos do Pelotão,0091763,1986,8.1,375574,120,"['Drama', 'War']",Oliver Stone,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']",6000000,138545632,"['USA', 'UK']","['English', 'Vietnamese']"
216,216,O Lado Selvagem,0758758,2007,8.1,564163,148,"['Adventure', 'Biography', 'Drama']",Sean Penn,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener']",15000000,56674477,['USA'],"['English', 'Danish']"
217,217,Logan,3315342,2017,8.1,633571,137,"['Action', 'Drama', 'Sci-Fi']",James Mangold,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen']",97000000,619021436,['USA'],"['English', 'Spanish']"
218,218,A Vida de Brian,0079470,1979,8.1,361887,94,['Comedy'],Terry Jones,"['Graham Chapman', 'John Cleese', 'Michael Palin']",4000000,20739243,['UK'],"['English', 'Latin']"
219,219,Rush - Duelo de Rivais,1979320,2013,8.1,425930,123,"['Action', 'Biography', 'Drama']",Ron Howard,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde']",38000000,96983009,"['UK', 'Germany', 'USA']","['English', 'German', 'Italian', 'French', 'Spanish']"
220,220,O Salário do Medo,0046268,1953,8.1,53470,131,"['Adventure', 'Drama', 'Thriller']",Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck']",0,1098,"['France', 'Italy']","['French', 'English', 'Spanish', 'German', 'Italian', 'Russian']"
221,221,A Criada,4016934,2016,8.1,107312,145,"['Drama', 'Romance', 'Thriller']",Chan-wook Park,"['Min-hee Kim', 'Jung-woo Ha', 'Jin-woong Cho']",10000000000,37767206,['South Korea'],"['Korean', 'Japanese']"
222,222,A Paixão de Joana d'Arc,0019254,1928,8.1,46403,110,"['Biography', 'Drama', 'History']",Carl Theodor Dreyer(as Carl Th. Dreyer),"['Maria Falconetti', 'Eugene Silvain', 'André Berley']",0,21877,['France'],"['None', 'French']"
223,223,Os quatrocentos Golpes,0053198,1959,8.1,102968,99,"['Crime', 'Drama']",François Truffaut,"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier']",0,127244,['France'],"['French', 'English']"
224,224,Andrei Rublev,0060107,1966,8.1,45499,205,"['Biography', 'Drama', 'History']",Andrei Tarkovsky(as Andrey Tarkovskiy),"['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko']",1000000,145491,['Soviet Union'],"['Russian', 'Italian', 'Tatar']"
225,225,Hotel Ruanda,0395169,2004,8.1,330804,121,"['Biography', 'Drama', 'History']",Terry George,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix']",17500000,33882243,"['UK', 'South Africa', 'Italy']","['English', 'French', 'Kinyarwanda']"
226,226,O Caso Spotlight,1895587,2015,8.1,410766,129,"['Biography', 'Crime', 'Drama']",Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']",20000000,98690254,['USA'],['English']
