"sex"	"age"	"birthplace"	"shoesize"	"service"	"smoking"	"avgrade"	"bafög"	"soccer"	"applynumb"	"acceptnumb"	"car"	"sleep"	"religion"	"job"	"unieval"	"cityeval"	"rent"	"abroadbefore"	"master"	"exchange"	"faith"	"brothsis"	"friend"	"animal"	"howareyou"	"work"	"tv"	"party"	"parentseducat"	"parentsstudy"	"parentsphd"	"languages"	"travel"	"height"	"weight"	"cooking"	"profession"	"meat"	"alternative"	"eggs"	"studyfine"	"newspaper"	"information"	"soccommit"	"econconcept"
"30"	0	21	1	42	0	0	2.3	0	4	4	4	0	7	3	0	2	3	225	0	1	-1	2	3	1	0	1	25	2	3	3	0	0	2	0	171	56	3	0	1	1	0	2	8	4	0	1
"31"	0	20	2	42	0	0	2.2	0	0	4	4	1	7.5	1	0	2	1	210	0	1	-1	-2	1	0	0	1	3	0.5	2	1	0	0	2	1	177	60	3	0	1	0	1	2	9	4	0	2
"32"	0	22	4	43	2	0	1.7	0	5	3	3	0	7	1	0	3	2	250	0	1	2	1	3	1	1	1	14	7	1	3	1	1	2	1	182	70	2	0	1	1	3	0	3	4	1	1
"33"	0	21	1	42	2	0	2.2	0	6	4	3	0	8.5	1	0	2	3	225	0	0	-1	1	1	0	0	1	18	7	3	3	1	0	3	0	176	72	2	0	1	4	2	2	3	4	1	2
"34"	0	20	5	44	2	0	1.4	0	3	4	4	0	6	2	2	1	3	245	0	2	1	2	1	0	1	2	4	5	1	3	1	0	1	0	184	86	1	0	1	4	2	2	3	4	1	1
"35"	1	20	3	36	0	0	2.1	0	1	2	2	0	9	2	0	1	3	293	1	0	-1	2	1	1	0	2	20	10	5	2	0	0	3	1	160	55	2	0	1	3	3	1	8	5	0	1
"36"	0	19	7	43	0	0	2.1	0	1	4	3	0	8	1	1	1	3	210	0	2	1	1	2	1	0	2	12	4	2	3	0	0	3	1	187	64	2	0	1	3	3	1	3	2	1	1
"37"	0	19	5	43	0	0	2	0	4	2	2	0	8	5	0	4	4	280	0	0	-2	-1	2	0	1	0	3	20	2	3	1	0	3	0	178	65	4	0	1	3	0	0	9	5	0	0
"38"	1	19	1	38	0	0	1.1	0	2	4	4	0	8	1	0	2	3	350	0	1	2	0	2	0	1	1	3	2	3	3	1	1	3	1	165	53	1	0	1	1	3	1	2	2	0	1
"39"	0	19	1	42	0	0	1.7	1	4	10	10	0	6	4	0	2	2	250	0	2	2	2	1	0	1	2	20	7	2	3	1	1	4	0	172	62	3	0	1	4	0	1	9	5	0	1
"40"	0	21	4	44	0	0	1.1	0	1	1	1	0	7	1	2	2	2	240	1	2	0	2	2	1	1	1	25	6	1	3	1	0	2	2	186	80	2	0	1	4	2	1	2	1	1	1
"41"	0	20	1	44	1	0	1.3	1	6	1	1	0	8	1	0	2	3	210	0	2	2	1	3	0	1	2	15	3	1	3	1	0	2	3	184	73	1	0	1	3	2	2	3	5	1	1
"42"	0	22	3	43.5	3	1	2	0	0	3	2	0	9.5	1	1	1	4	300	0	1	2	-2	1	1	1	1	10	10	5	3	1	1	2	1	183	73	2	0	1	4	4	1	8	2	1	1
"43"	1	19	5	39	0	1	2.2	0	3	5	3	0	8.5	2	0	1	5	345	0	2	2	0	2	1	1	1	18	3	1	3	1	1	1	3	165	57	1	0	1	4	3	1	3	2	0	1
"44"	0	21	4	46	0	0	2.4	0	2	6	5	0	8	1	0	1	3	210	0	2	1	-1	1	0	1	2	14	8	2	3	1	0	2	0	187	80	4	0	1	3	2	2	3	2	1	1
"45"	0	21	4	42	3	0	1.5	1	0	1	1	0	7	2	0	2	3	225	1	2	2	2	1	0	1	2	14	7	1	2	0	0	2	3	175	70	4	0	1	1	2	2	3	5	1	1
